dataset,feature,sort_direction,full_gain_pt,best_coverage_ge_20,best_n,best_threshold,best_mrr_stage1,best_mrr_stage2,best_delta_mrr,best_gain_pt,gain_lift_vs_full
FB15k-237,num_dependencies,asc,0.010000388562700913,1.0,40819,1484.0,0.3521072717743939,0.3556284813078904,0.0035212095334964943,0.010000388562700913,0.0
FB15k-237,num_dependency_edges,asc,0.010000388562700913,1.0,40819,1484.0,0.3521072717743939,0.3556284813078904,0.0035212095334964943,0.010000388562700913,0.0
FB15k-237,query_num_edges,asc,0.010000388562700913,1.0,40819,1484.0,0.3521072717743939,0.3556284813078904,0.0035212095334964943,0.010000388562700913,0.0
FB15k-237,neg_mass,asc,0.010000388562700024,1.0,40819,66.58936,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,num_neg_dep,asc,0.010000388562700024,1.0,40819,369.0,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,red_rule_ratio,asc,0.010000388562700024,1.0,40819,0.5168306077917446,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,redundancy_weight_max,asc,0.010000388562700024,1.0,40819,1.16499,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,redundancy_weight_mean,asc,0.010000388562700024,1.0,40819,0.6633,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,redundancy_weight_top10_mean,asc,0.010000388562700024,1.0,40819,0.903415,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,redundancy_weight_top10_sum,asc,0.010000388562700024,1.0,40819,9.03415,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,redundancy_weight_top1_mean,asc,0.010000388562700024,1.0,40819,1.16499,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,redundancy_weight_top1_sum,asc,0.010000388562700024,1.0,40819,1.16499,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
FB15k-237,redundancy_weight_top3_mean,asc,0.010000388562700024,1.0,40819,1.0057333333333334,0.3521072717743893,0.3556284813078854,0.0035212095334961058,0.010000388562700024,0.0
